2023,11,177.0,8,Bread
2023,11,52.43,13,"Amys Lentil Kale"
2023,11,26.96,4,"Baby Spinich Package"
2023,11,20.47,3,"Grapefruit Juice"
2023,11,8.47,3,Milk
2023,11,6.98,2,"Pacific Mushroom Soup"
2023,11,5.94,5,Avacado
2023,11,4.58,2,Fettucini
2023,11,4.49,2,"Spinach Bunch"
2023,11,4.0,2,"Red Bell Pepper"
2023,11,3.98,2,"Green Onions"
2023,11,3.0,2,Corn
2023,11,2.5,2,Limes
2023,12,206.85,15,"Butter Wine"
2023,12,206.24,16,"Petite Sarah"
2023,12,138.94,10,Bread
2023,12,138.68,34,"Amys Lentil Kale"
2023,12,123.97,5,"Cliff Bars"
2023,12,53.97,3,"Olive Oil"
2023,12,46.94,6,"Grapefruit Juice"
2023,12,35.95,5,"Baby Spinich Package"
2023,12,29.98,2,"Tika Misala"
2023,12,25.96,4,Perier
2023,12,24.97,3,"Macaroni Salad"
2023,12,23.97,3,"Pumkin Seeds"
2023,12,22.65,5,Milk
2023,12,19.93,2,Turkey
2023,12,16.98,2,"Orange Juice"
2023,12,16.98,2,Cars
2023,12,16.88,3,"Tomatoes on the Vine"
2023,12,15.98,2,Yogurt
2023,12,14.97,3,"Sunflower Seeds"
2023,12,12.98,2,Eggs
2023,12,12.71,2,Chicken
2023,12,12.56,2,Oranges
2023,12,11.62,2,"Whipping Cream"
2023,12,10.99,2,"Cherub Tomatoes"
2023,12,10.98,8,Avacado
2023,12,10.15,3,Broccoli
2023,12,9.98,2,"Rotiserie Chicken"
2023,12,9.57,2,"Chicken Broth"
2023,12,9.29,3,Celery
2023,12,8.99,3,Corn
2023,12,8.98,2,"Indian Sauce"
2023,12,8.84,7,Garlic
2023,12,7.58,2,"Stoufers Spinich Soufle"
2023,12,7.58,2,"Mac and Cheese"
2023,12,7.5,3,"Spinach Bunch"
2023,12,7.5,5,"Green Bell Pepper"
2023,12,6.98,2,"Mushroom Soup"
2023,12,6.76,3,"Green Onions"
2023,12,6.28,2,"Carrots Bunch Org"
2023,12,5.0,2,Coke
2023,12,5.0,2,7-Up
2023,12,3.4,2,"Red Onion"
2023,12,3.0,2,"Black Beans"
2024,1,114.41,28,"Amys Lentil Kale"
2024,1,112.45,7,Bread
2024,1,99.9,10,Blueberries
2024,1,90.23,7,"Petite Sarah"
2024,1,61.92,8,"Grapefruit Juice"
2024,1,51.98,2,"Cliff Bars"
2024,1,38.94,5,"Baby Spinich Package"
2024,1,32.38,2,"Beecher's Mac & Cheese"
2024,1,29.53,3,Turkey
2024,1,17.98,2,Sausage
2024,1,17.36,11,Avacado
2024,1,15.98,2,"Pumkin Seeds"
2024,1,14.98,2,"Orange Juice"
2024,1,14.66,3,Apples
2024,1,13.96,4,"Carrots Bunch Org"
2024,1,12.99,3,"Tomatoes on the Vine"
2024,1,10.87,3,Milk
2024,1,9.98,2,"Sunflower Seeds"
2024,1,9.98,2,"Rotiserie Chicken"
2024,1,9.98,2,Hummus
2024,1,8.98,2,"Staufer's Spinich Souffle"
2024,1,8.75,5,Garlic
2024,1,7.65,2,Broccoli
2024,1,7.2,2,Potatoes
2024,1,6.35,2,Oranges
2024,1,6.02,4,"Green Bell Pepper"
2024,1,6.0,2,"Red Bell Pepper"
2024,1,6.0,4,Corn
2024,1,5.97,2,Celery
2024,1,5.88,4,"Green Onions"
2024,1,5.0,2,"Spinach Bunch"
2024,1,3.38,2,Lemon
2024,2,181.74,11,Bread
2024,2,93.9,10,Blueberries
